,car_id,probeID,car_id.1,passenger_id,timestamp,longitude,latitude,shape,easting,northing,distance,linkPVID,projection_NE,projection_lat,projection_lon
0,0,0,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294972,108.97233,34.27923,POINT (108.97233 34.27923),313349.63057862263,3794977.8018580317,0.27152006277561613,263911.0,POINT ( 313349.9020869538 3794977.7993340287),34.27922999398509,108.9723319496688
1,1,1,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294975,108.97233,34.27911,POINT (108.97233 34.27911),313349.3651872132,3794964.492819142,0.413181511599627,263911.0,POINT ( 313349.7783508724 3794964.4889782793),34.279110007574765,108.97233348796372
2,2,2,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294978,108.97233,34.27903,POINT (108.97233 34.27903),313349.1882600625,3794955.6201266767,0.5076220230594988,263911.0,POINT ( 313349.69586015266 3794955.615407911),34.27903001663439,108.97233451348632
3,3,3,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294981,108.97233,34.27903,POINT (108.97233 34.27903),313349.1882600625,3794955.6201266767,0.5076220230594988,263911.0,POINT ( 313349.69586015266 3794955.615407911),34.27903001663439,108.97233451348632
4,4,4,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294984,108.97233,34.27903,POINT (108.97233 34.27903),313349.1882600625,3794955.6201266767,0.5076220230594988,263911.0,POINT ( 313349.69586015266 3794955.615407911),34.27903001663439,108.97233451348632
5,5,5,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294987,108.97233,34.27903,POINT (108.97233 34.27903),313349.1882600625,3794955.6201266767,0.5076220230594988,263911.0,POINT ( 313349.69586015266 3794955.615407911),34.27903001663439,108.97233451348632
6,6,6,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294990,108.97233,34.27895,POINT (108.97233 34.27895),313349.0113332761,3794946.7474343125,0.6020621711638914,263911.0,POINT ( 313349.6133694339 3794946.741837648),34.27895002569391,108.97233553900303
7,7,7,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294993,108.97233,34.27895,POINT (108.97233 34.27895),313349.0113332761,3794946.7474343125,0.6020621711638914,263911.0,POINT ( 313349.6133694339 3794946.741837648),34.27895002569391,108.97233553900303
8,8,8,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294996,108.97233,34.27895,POINT (108.97233 34.27895),313349.0113332761,3794946.7474343125,0.6020621711638914,263911.0,POINT ( 313349.6133694339 3794946.741837648),34.27895002569391,108.97233553900303
9,9,9,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294999,108.97233,34.27887,POINT (108.97233 34.27887),313348.8344068544,3794937.8747420493,0.6965019555765598,263911.0,POINT ( 313349.53087871615 3794937.868267489),34.27887003475332,108.97233656451384
10,10,10,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295002,108.97233,34.27887,POINT (108.97233 34.27887),313348.8344068544,3794937.8747420493,0.6965019555765598,263911.0,POINT ( 313349.53087871615 3794937.868267489),34.27887003475332,108.97233656451384
11,11,11,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295005,108.97233,34.27887,POINT (108.97233 34.27887),313348.8344068544,3794937.8747420493,0.6965019555765598,263911.0,POINT ( 313349.53087871615 3794937.868267489),34.27887003475332,108.97233656451384
12,12,12,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295008,108.97233,34.27887,POINT (108.97233 34.27887),313348.8344068544,3794937.8747420493,0.6965019555765598,263911.0,POINT ( 313349.53087871615 3794937.868267489),34.27887003475332,108.97233656451384
13,13,13,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295011,108.97233,34.27887,POINT (108.97233 34.27887),313348.8344068544,3794937.8747420493,0.6965019555765598,263911.0,POINT ( 313349.53087871615 3794937.868267489),34.27887003475332,108.97233656451384
14,14,14,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295014,108.97233,34.27879,POINT (108.97233 34.27879),313348.6574807971,3794929.0020498894,0.7909413765216675,263911.0,POINT ( 313349.4483879993 3794928.994697437),34.27879004381263,108.97233759001875
15,15,15,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295017,108.97233,34.27879,POINT (108.97233 34.27879),313348.6574807971,3794929.0020498894,0.7909413765216675,263911.0,POINT ( 313349.4483879993 3794928.994697437),34.27879004381263,108.97233759001875
16,16,16,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295020,108.97233,34.27879,POINT (108.97233 34.27879),313348.6574807971,3794929.0020498894,0.7909413765216675,263911.0,POINT ( 313349.4483879993 3794928.994697437),34.27879004381263,108.97233759001875
17,17,17,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295023,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283,0.8971852906388829,263911.0,POINT ( 313349.3555859441 3794919.011931251),34.278700054004176,108.97233874370475
18,18,18,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295026,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283,0.8971852906388829,263911.0,POINT ( 313349.3555859441 3794919.011931251),34.278700054004176,108.97233874370475
19,19,19,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295029,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283,0.8971852906388829,263911.0,POINT ( 313349.3555859441 3794919.011931251),34.278700054004176,108.97233874370475
20,20,20,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295032,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283,0.8971852906388829,263911.0,POINT ( 313349.3555859441 3794919.011931251),34.278700054004176,108.97233874370475
21,21,21,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295035,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283,0.8971852906388829,263911.0,POINT ( 313349.3555859441 3794919.011931251),34.278700054004176,108.97233874370475
22,22,22,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295038,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283,0.8971852906388829,263911.0,POINT ( 313349.3555859441 3794919.011931251),34.278700054004176,108.97233874370475
