car_id,probeID,car_id,passenger_id,timestamp,longitude,latitude,shape,easting,northing
0,0,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294972,108.97233,34.27923,POINT (108.97233 34.27923),313349.6305786226,3794977.801858032
1,1,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294975,108.97233,34.279109999999996,POINT (108.97233 34.27911),313349.3651872132,3794964.492819142
2,2,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294978,108.97233,34.27903,POINT (108.97233 34.27903),313349.1882600625,3794955.620126677
3,3,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294981,108.97233,34.27903,POINT (108.97233 34.27903),313349.1882600625,3794955.620126677
4,4,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294984,108.97233,34.27903,POINT (108.97233 34.27903),313349.1882600625,3794955.620126677
5,5,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294987,108.97233,34.27903,POINT (108.97233 34.27903),313349.1882600625,3794955.620126677
6,6,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294990,108.97233,34.27895,POINT (108.97233 34.27895),313349.01133327617,3794946.7474343125
7,7,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294993,108.97233,34.27895,POINT (108.97233 34.27895),313349.01133327617,3794946.7474343125
8,8,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294996,108.97233,34.27895,POINT (108.97233 34.27895),313349.01133327617,3794946.7474343125
9,9,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475294999,108.97233,34.27887,POINT (108.97233 34.27887),313348.8344068544,3794937.8747420497
10,10,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295002,108.97233,34.27887,POINT (108.97233 34.27887),313348.8344068544,3794937.8747420497
11,11,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295005,108.97233,34.27887,POINT (108.97233 34.27887),313348.8344068544,3794937.8747420497
12,12,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295008,108.97233,34.27887,POINT (108.97233 34.27887),313348.8344068544,3794937.8747420497
13,13,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295011,108.97233,34.27887,POINT (108.97233 34.27887),313348.8344068544,3794937.8747420497
14,14,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295014,108.97233,34.27879,POINT (108.97233 34.27879),313348.6574807971,3794929.0020498894
15,15,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295017,108.97233,34.27879,POINT (108.97233 34.27879),313348.6574807971,3794929.0020498894
16,16,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295020,108.97233,34.27879,POINT (108.97233 34.27879),313348.6574807971,3794929.0020498894
17,17,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295023,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
18,18,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295026,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
19,19,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295029,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
20,20,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295032,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
21,21,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295035,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
22,22,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295038,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
23,23,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295041,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
24,24,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295044,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
25,25,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295047,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
26,26,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295050,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
27,27,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295053,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
28,28,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295056,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
29,29,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295059,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
30,30,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295062,108.97233,34.2787,POINT (108.97233 34.2787),313348.45843941823,3794919.0202713283
31,31,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295068,108.97233999999999,34.2786,POINT (108.97234 34.2786),313349.1579478537,3794907.9110480305
32,32,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295071,108.97233999999999,34.27847,POINT (108.97234 34.27847),313348.8704466141,3794893.4929239103
33,33,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295077,108.97233999999999,34.27813,POINT (108.97234 34.27813),313348.1185248451,3794855.783985168
34,34,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295080,108.97233999999999,34.27799,POINT (108.97234 34.27799),313347.8089119124,3794840.2567756325
35,35,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295083,108.97233999999999,34.277809999999995,POINT (108.97234 34.27781),313347.41083978175,3794820.293220969
36,36,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295089,108.97233999999999,34.27752,POINT (108.97234 34.27752),313346.76950523007,3794788.1297173165
37,37,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295092,108.97233999999999,34.277359999999994,POINT (108.97234 34.27735999999999),313346.41566752736,3794770.3843365614
38,38,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295095,108.97233999999999,34.277359999999994,POINT (108.97234 34.27735999999999),313346.41566752736,3794770.3843365614
39,39,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295098,108.97235,34.27721,POINT (108.97235 34.27721),313347.0046261677,3794753.729684534
40,40,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295101,108.97235,34.27721,POINT (108.97235 34.27721),313347.0046261677,3794753.729684534
41,41,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295104,108.97235,34.27721,POINT (108.97235 34.27721),313347.0046261677,3794753.729684534
42,42,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295107,108.97235,34.27721,POINT (108.97235 34.27721),313347.0046261677,3794753.729684534
43,43,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295113,108.97236000000001,34.27708,POINT (108.97236 34.27708),313347.6378182168,3794739.293205496
44,44,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295116,108.97236000000001,34.27708,POINT (108.97236 34.27708),313347.6378182168,3794739.293205496
45,45,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295119,108.97236000000001,34.27708,POINT (108.97236 34.27708),313347.6378182168,3794739.293205496
46,46,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295122,108.97236000000001,34.27708,POINT (108.97236 34.27708),313347.6378182168,3794739.293205496
47,47,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295125,108.97236000000001,34.27708,POINT (108.97236 34.27708),313347.6378182168,3794739.293205496
48,48,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295131,108.97236000000001,34.27708,POINT (108.97236 34.27708),313347.6378182168,3794739.293205496
49,49,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295134,108.97236000000001,34.27708,POINT (108.97236 34.27708),313347.6378182168,3794739.293205496
50,50,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295137,108.97236000000001,34.27708,POINT (108.97236 34.27708),313347.6378182168,3794739.293205496
51,51,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295140,108.97236000000001,34.27708,POINT (108.97236 34.27708),313347.6378182168,3794739.293205496
52,52,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295143,108.97236000000001,34.277,POINT (108.97236 34.277),313347.4609029351,3794730.420515666
53,53,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295146,108.97236000000001,34.277,POINT (108.97236 34.277),313347.4609029351,3794730.420515666
54,54,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295149,108.97236000000001,34.277,POINT (108.97236 34.277),313347.4609029351,3794730.420515666
55,55,000b1491b982532590f833ab4e53dded,c30f73c3d4d5c30512cfd7160a9db583,1475295152,108.97237,34.27688,POINT (108.97237 34.27688),313348.1162144557,3794717.0931234374
